pl_name,hostname,disc_year,pl_rade,pl_orbper,pl_orbsmax,st_teff,habitable
Kepler-191 b,Kepler-191,2014.0,1.34,9.939632,0.087,5282.0,0
Kepler-191 c,Kepler-191,2014.0,1.86,17.738506,0.128,5282.0,0
Kepler-192 b,Kepler-192,2014.0,2.74,9.926746,0.09,5479.0,0
Kepler-192 c,Kepler-192,2014.0,2.79,21.2234,0.15,5479.0,0
Kepler-1921 c,Kepler-1921,2023.0,1.41,3.15722086,0.0454,6120.0,0
Kepler-1928 b,Kepler-1928,2021.0,1.992,19.57783,0.194,5720.0,0
Kepler-193 b,Kepler-193,2014.0,2.39,11.38848,0.106,6335.0,0
Kepler-193 c,Kepler-193,2014.0,2.75,50.697494,0.286,6335.0,0
Kepler-194 b,Kepler-194,2014.0,1.51,2.092281,0.032,6089.0,0
Kepler-194 c,Kepler-194,2014.0,2.59,17.308032,0.131,6089.0,0
Kepler-194 d,Kepler-194,2014.0,2.4,52.814973,0.275,6089.0,0
Kepler-195 b,Kepler-195,2014.0,2.03,8.307872,0.077,5329.0,0
Kepler-195 c,Kepler-195,2014.0,1.55,34.096863,0.197,5329.0,0
Kepler-196 b,Kepler-196,2014.0,1.9,20.739886,0.138,5128.0,0
Kepler-196 c,Kepler-196,2014.0,2.24,47.427737,0.24,5128.0,0
Kepler-197 b,Kepler-197,2014.0,1.02,5.599308,0.06,6004.0,0
Kepler-197 c,Kepler-197,2014.0,1.23,10.349695,0.09,6004.0,0
Kepler-197 d,Kepler-197,2014.0,1.22,15.677563,0.119,6004.0,0
Kepler-197 e,Kepler-197,2014.0,0.91,25.209715,0.164,6004.0,0
Kepler-1976 b,Kepler-1976,2023.0,12.21,4.959319244,0.0565,5712.0,0
Kepler-1977 b,Kepler-1977,2023.0,1.66,4.53702121,0.0486,4805.0,0
Kepler-1978 b,Kepler-1978,2023.0,2.67,10.84969477,0.0914,5251.0,0
Kepler-1979 b,Kepler-1979,2023.0,29.33,18.5084526,0.1383,5942.0,0
Kepler-198 b,Kepler-198,2014.0,2.82,17.790037,0.131,5574.0,0
Kepler-198 c,Kepler-198,2014.0,2.47,49.567416,0.259,5574.0,0
Kepler-1980 b,Kepler-1980,2023.0,2.21,33.0257179,0.2049,5819.0,0
Kepler-1981 b,Kepler-1981,2023.0,9.23,453.54212,1.3292,5874.0,0
Kepler-1982 b,Kepler-1982,2023.0,0.77,3.82315697,0.0511,6202.0,0
Kepler-1983 b,Kepler-1983,2023.0,2.33,7.32851947,0.0689,5135.0,0
Kepler-1984 b,Kepler-1984,2023.0,6.81,1.992812339,0.0238,3638.0,0
Kepler-1985 b,Kepler-1985,2023.0,2.27,3.42064689,0.0426,5370.0,0
Kepler-1986 b,Kepler-1986,2023.0,1.89,19.5489666,0.1307,5549.0,0
Kepler-1987 b,Kepler-1987,2023.0,1.23,2.345863002,0.0318,4769.0,0
Kepler-1987 c,Kepler-1987,2023.0,1.33,3.64830183,0.0427,4769.0,0
Kepler-1987 d,Kepler-1987,2023.0,2.66,5.644914154,0.0571,4769.0,0
Kepler-1987 e,Kepler-1987,2023.0,1.92,8.74292005,0.0765,4769.0,0
Kepler-1988 b,Kepler-1988,2023.0,1.53,11.49500229,0.1038,6033.0,0
Kepler-1989 b,Kepler-1989,2023.0,4.62,10.161023528,0.0918,6032.0,0
Kepler-199 b,Kepler-199,2014.0,3.11,23.637604,0.158,5644.0,0
Kepler-199 c,Kepler-199,2014.0,3.25,67.093408,0.316,5644.0,0
Kepler-1990 b,Kepler-1990,2023.0,3.27,1.73513619,0.0286,5751.0,0
Kepler-1990 c,Kepler-1990,2023.0,0.98,4.06844957,0.0504,5751.0,0
Kepler-1991 b,Kepler-1991,2023.0,1.47,13.26079792,0.1065,5478.0,0
Kepler-1991 c,Kepler-1991,2023.0,2.57,22.79020351,0.1528,5478.0,0
Kepler-1992 b,Kepler-1992,2023.0,0.91,15.6112238,0.1169,5383.0,0
Kepler-1993 b,Kepler-1993,2023.0,4.15,26.6565737,0.1943,5159.0,0
Kepler-1994 b,Kepler-1994,2023.0,0.51,4.61225043,0.053,5495.0,0
Kepler-1995 b,Kepler-1995,2023.0,4.28,73.7578875,0.3259,5029.0,0
Kepler-1996 b,Kepler-1996,2023.0,2.26,32.376183,0.1789,4580.0,0
Kepler-1996 c,Kepler-1996,2023.0,2.81,92.7297248,0.3608,4580.0,0
Kepler-1997 b,Kepler-1997,2023.0,2.28,26.7575866,0.1815,6215.0,0
Kepler-1998 b,Kepler-1998,2023.0,0.6,3.03267135,0.0405,5640.0,0
Kepler-1999 b,Kepler-1999,2023.0,3.29,8.7396758,0.0713,4406.0,0
Kepler-20 b,Kepler-20,2011.0,1.773,3.6961049,0.04565,5495.0,0
Kepler-20 c,Kepler-20,2011.0,2.894,10.8540774,0.0936,5495.0,0
Kepler-20 d,Kepler-20,2011.0,2.606,77.611455,0.3474,5495.0,0
Kepler-20 e,Kepler-20,2011.0,0.821,6.0984882,0.0637,5495.0,0
Kepler-20 f,Kepler-20,2011.0,0.952,19.578328,0.1387,5495.0,0
Kepler-200 b,Kepler-200,2014.0,2.13,8.594805,0.08,5678.0,0
Kepler-200 c,Kepler-200,2014.0,1.59,10.222157,0.09,5678.0,0
Kepler-2000 b,Kepler-2000,2023.0,2.73,6.383159135,0.0562,3757.0,0
Kepler-2000 c,Kepler-2000,2023.0,1.57,20.6180348,0.1228,3757.0,0
Kepler-2001 b,Kepler-2001,2023.0,1.04,1.090011003,0.0197,5081.0,0
Kepler-2001 c,Kepler-2001,2023.0,1.82,14.092583189,0.1084,5081.0,0
Kepler-201 b,Kepler-201,2014.0,2.46,25.672083,0.175,6065.0,0
Kepler-201 c,Kepler-201,2014.0,2.85,151.884058,0.573,6065.0,0
Kepler-202 b,Kepler-202,2014.0,1.63,4.069427,0.045,4668.0,0
Kepler-202 c,Kepler-202,2014.0,1.85,16.282493,0.113,4668.0,0
Kepler-203 b,Kepler-203,2014.0,2.57,3.162697,0.043,5821.0,0
Kepler-203 c,Kepler-203,2014.0,2.47,5.370647,0.061,5821.0,0
Kepler-203 d,Kepler-203,2014.0,1.44,11.32972,0.1,5821.0,0
Kepler-204 b,Kepler-204,2014.0,2.53,14.400974,0.117,5812.0,0
Kepler-204 c,Kepler-204,2014.0,1.79,25.660593,0.173,5812.0,0
Kepler-205 b,Kepler-205,2014.0,1.51,2.75564,0.032,4321.0,0
Kepler-205 c,Kepler-205,2014.0,1.64,20.306546,0.122,4321.0,0
Kepler-206 b,Kepler-206,2014.0,1.2,7.781987,0.078,5764.0,0
Kepler-206 c,Kepler-206,2014.0,1.77,13.137471,0.111,5764.0,0
Kepler-206 d,Kepler-206,2014.0,1.19,23.44281,0.163,5764.0,0
Kepler-207 b,Kepler-207,2014.0,1.57,1.611865,0.029,5920.0,0
Kepler-207 c,Kepler-207,2014.0,1.5,3.071571,0.044,5920.0,0
Kepler-207 d,Kepler-207,2014.0,3.31,5.868075,0.068,5920.0,0
Kepler-208 b,Kepler-208,2014.0,1.63,4.22864,0.054,6092.0,0
Kepler-208 c,Kepler-208,2014.0,1.39,7.466623,0.079,6092.0,0
Kepler-208 d,Kepler-208,2014.0,1.2,11.131786,0.103,6092.0,0
Kepler-208 e,Kepler-208,2014.0,1.48,16.259458,0.132,6092.0,0
Kepler-209 b,Kepler-209,2014.0,2.26,16.087845,0.122,5513.0,0
Kepler-209 c,Kepler-209,2014.0,3.1,41.749882,0.231,5513.0,0
Kepler-21 b,Kepler-21,2012.0,1.639,2.7858212,0.0434,6305.0,0
Kepler-210 b,Kepler-210,2014.0,2.94,2.453234,0.032,4559.0,0
